file,bank,addr,label,name,pic,textend,nowrap,zh,en,deepl,checked,notes
,1e,504a,,,,return,,軟化噴霧,SoftSpray,0,0,
,1e,5052,,,,return,,無力針,WeakNeedle,0,0,
,1e,5058,,,,return,,呆滯針,Slg.Needle,0,0,
,1e,505d,,,,return,,刺眼噴霧,DazzSpray,0,0,
,1e,5066,,,,return,,遲緩噴霧,SlowSpray,0,0,
,1e,506e,,,,return,,煙幕彈,SmokeBomb,0,0,
,1e,5073,,,,return,,干擾電波,Sig.Jammer,0,0,
,1e,507b,,,,return,,隱身設備,Cloaker,0,0,
,1e,5083,,,,return,,迴避雷達,DodgeRadar,0,0,
,1e,508b,,,,return,,神奇果實,M-Berry,0,0,
,1e,5092,,,,return,,縮地射線,Escape Ray,0,0,
,1e,5099,,,,return,,祕技１,TM1,0,0,
,1e,50a0,,,,return,,祕技２,TM2,0,0,
,1e,50a7,,,,return,,祕技３,TM3,0,0,
,1e,50ae,,,,return,,祕技４,TM4,0,0,
,1e,50b5,,,,return,,祕技５,TM5,0,0,
,1e,50bc,,,,return,,祕技６,TM6,0,0,
,1e,50c3,,,,return,,祕技７,TM7,0,0,
,1e,50ca,,,,return,,祕技８,TM8,0,0,
,1e,50d1,,,,return,,祕技９,TM9,0,0,
,1e,50d8,,,,return,,祕技１０,TM10,0,0,
,1e,50e0,,,,return,,祕技１１,TM11,0,0,
,1e,50e8,,,,return,,祕技１２,TM12,0,0,
,1e,50f0,,,,return,,祕技１３,TM13,0,0,
,1e,50f8,,,,return,,祕技１４,TM14,0,0,
,1e,5100,,,,return,,祕技１５,TM15,0,0,
,1e,5108,,,,return,,祕技１６,TM16,0,0,
,1e,5110,,,,return,,祕技１７,TM17,0,0,
,1e,5118,,,,return,,祕技１８,TM18,0,0,
,1e,5120,,,,return,,祕技１９,TM19,0,0,
,1e,5128,,,,return,,祕技２０,TM20,0,0,
,1e,5130,,,,return,,祕技２１,TM21,0,0,
,1e,5138,,,,return,,祕技２２,TM22,0,0,
,1e,5140,,,,return,,祕技２３,TM23,0,0,
,1e,5148,,,,return,,祕技２４,TM24,0,0,
,1e,5150,,,,return,,祕技２５,TM25,0,0,
,1e,5158,,,,return,,祕技２６,TM26,0,0,
,1e,5160,,,,return,,祕技２７,TM27,0,0,
,1e,5168,,,,return,,祕技２８,TM28,0,0,
,1e,5170,,,,return,,祕技２９,TM29,0,0,
,1e,5178,,,,return,,祕技３０,TM30,0,0,
,1e,5180,,,,return,,祕技３１,TM31,0,0,
,1e,5188,,,,return,,祕技３２,TM32,0,0,
,1e,5190,,,,return,,祕技３３,TM33,0,0,
,1e,5198,,,,return,,祕技３４,TM34,0,0,
,1e,51a0,,,,return,,祕技３５,TM35,0,0,
,1e,51a8,,,,return,,祕技３６,TM36,0,0,
,1e,51b0,,,,return,,祕技３７,TM37,0,0,
,1e,51b8,,,,return,,祕技３８,TM38,0,0,
,1e,51c0,,,,return,,祕技３９,TM39,0,0,
,1e,51c8,,,,return,,祕技４０,TM40,0,0,
,1e,51d0,,,,return,,祕技４１,TM41,0,0,
,1e,51d8,,,,return,,祕技４２,TM42,0,0,
,1e,51e0,,,,return,,祕技４３,TM43,0,0,
,1e,51e8,,,,return,,祕技４４,TM44,0,0,
,1e,51f0,,,,return,,祕技４５,TM45,0,0,
,1e,51f8,,,,return,,祕技４６,TM46,0,0,
,1e,5200,,,,return,,祕技４７,TM47,0,0,
,1e,5208,,,,return,,祕技４８,TM48,0,0,
,1e,5210,,,,return,,祕技４９,TM49,0,0,
,1e,5218,,,,return,,祕技５０,TM50,0,0,
key_item_names,1e,5358,,,,return,,,,0,0,
,1e,535e,,,,return,,設計圖,Blueprints,0,0,
,1e,5365,,,,return,,彩虹水晶,RainbowCrystal,0,0,
,1e,536e,,,,return,,鳳凰號,Phx. Car,0,0,
,1e,5374,,,,return,,發條,Spring,0,0,
,1e,5379,,,,return,,發條老鼠,Windup Rat,0,0,
,1e,5382,,,,return,,追蹤器,Chip Tracker,0,0,
,1e,5388,,,,return,,ＰＤＡ,PDA,0,0,
,1e,538d,,,,return,,天使之葉,Angel Leaf,0,0,
,1e,5395,,,,return,,晶片２,Chip 2,0,0,
,1e,539c,,,,return,,金鑰匙,Gold Key,0,0,
,1e,53a2,,,,return,,性感禮服,Sexy Dress,0,0,
,1e,53aa,,,,return,,復古項鍊,Old Necklace,0,0,
,1e,53b3,,,,return,,晶片３,Chip 3,0,0,
,1e,53ba,,,,return,,珍珠項鍊,Pearl Necklace,0,0,
,1e,53c2,,,,return,,魚之魂,Fish Soul,0,0,
,1e,53c8,,,,return,,晶片４,Chip 4,0,0,
,1e,53cf,,,,return,,絕緣耳機,Earphones,0,0,
,1e,53d7,,,,return,,晶片５,Chip 5,0,0,
,1e,53de,,,,return,,超人模型,Hero Figurine,0,0,
,1e,53e7,,,,return,,繩勾,Rope Hook,0,0,
,1e,53ec,,,,return,,奇蹟泉水,Miracle Water,0,0,
,1e,53f4,,,,return,,傳家懷錶,Pocket Watch,0,0,
,1e,53fc,,,,return,,程式磁片,Program Disk,0,0,
,1e,5404,,,,return,,晶片６,Chip 6,0,0,
,1e,540b,,,,return,,雪熊爪,Freedzy's Claw,0,0,
,1e,5412,,,,return,,父親之帽,Dad's Hat,0,0,
,1e,541a,,,,return,,紫羅蘭,Violet,0,0,
,1e,5421,,,,return,,彩繪筆,Color Pencil,0,0,
,1e,5427,,,,return,,地契,Land Deed,0,0,
,1e,542c,,,,return,,音樂盒,Music Box,0,0,
,1e,5432,,,,return,,星槌,Star Mallet,0,0,
,1e,5437,,,,return,,米特日記,Mitt's Diary,0,0,
,1e,5440,,,,return,,全家福照,Family Photo,0,0,
,1e,5449,,,,return,,燉兔肉,Rabbit Stew,0,0,
,1e,5451,,,,return,,妮妮娃娃,Nini Doll,0,0,
,1e,5458,,,,return,,布蘭特熊,Brandt Bear,0,0,
,1e,5461,,,,return,,晶片７,Chip 7,0,0,
,1e,5468,,,,return,,金鋼鑽,Drill,0,0,
,1e,546f,,,,return,,金鋼鑽頭,Drill Head,0,0,
,1e,5478,,,,return,,晶片８,Chip 8,0,0,
menu_25_6099,25,6099,String_025_6099,,,line,,攻擊防禦速度魔防經驗值,AtkDefSpdMdfExp,1,0,
,25,60a9,String_025_60a9,,,line,,怪獸道具同伴圖鑑存檔,"Beast

Item

Party

Dex

Save",1,0,
,25,60b7,String_025_60b7,,,line,,移位詳細,,0,0,
,25,60be,String_025_60be,,,line,,"交換詳細
詳細",,0,0,
,25,60c8,String_025_60c8,,,line,,使用丟棄,,0,0,
,25,60cf,String_025_60cf,,,line,,"裝備丟棄
辦詳",,0,0,
,25,60db,String_025_60db,,,line,,是否,Yes No,0,0,
,25,60e0,String_025_60e0,,,line,,主角１,Chara 1,1,0,
,25,60e7,String_025_60e7,,,line,,特技是吃飽睡﹐睡飽吃⚬,"Skills include eating and sleeping, sleeping and eating.",1,0,
,25,6104,String_025_6104,,,line,,確定要存檔嗎﹖,Do you want to save?,0,0,
,25,610d,String_025_610d,,,line,,是否,Yes No,0,0,
,25,6112,String_025_6112,,,line,,確定要覆蓋嗎﹖,Is it OK to overwrite?,1,0,
,25,611b,String_025_611b,,,line,,"存檔成功﹗
存檔失敗﹗","Save OK

Save failed",1,0,
menu_25_6199,25,6199,String_025_6199,,,line,,一般裝備元,,0,0,
,25,61a3,String_025_61a3,,,line,,狀態存放領取換盒子放生,,0,0,
,25,61b6,String_025_61b6,,,line,,目前位置,Location,1,0,
,25,61bf,String_025_61bf,,,line,,盒子,Box,1,0,
menu_options,00,1cc5,String_1cc5,,,choice,,是  否,,0,0,
,00,1cd0,String_1cd0,,,choice,,回春 靈動,,0,0,
mon_descriptions,26,5864,,,,line,,﹖﹖﹖,,0,0,
,26,5869,,,,line,1,個性暴躁易怒﹐生氣時會卯起來亂打⚬,Irritable and angry. It recklessly starts fights.,0,1,
,26,5886,,,,line,1,身高九尺八寸﹐力大無窮﹐外型憨厚老實⚬,"At about 3.2m, it has boundless strength.",0,1,
,26,58a9,,,,line,1,擅長使用拳擊﹐常趁人不注意時﹐給予敵人致命的一拳⚬,Good at using punches. Often delivers fatal punches while its victim is unawares.,0,0,
,26,58d6,,,,line,1,全身由橡膠製成﹐即使斷裂也可以立刻再生⚬,"The whole body is made of rubber, even if broken can immediately regenerate.",0,0,
,26,58fa,,,,line,1,以金剛不壞之身而聞名﹐弱點在眼睛上方⚬,He is known for his invincible body and his weakness is above the eyes.,0,0,
,26,591e,,,,line,1,個性膽小﹐隨時都在尋找可以隨身保護的人⚬,He has a timid personality and is always looking for someone to protect.,0,0,
,26,5941,,,,line,1,出生於青青草原﹐擁有操縱閃電的力量⚬,"A grassland crea-

ture who can con-

trol lightning.",0,0,"Born in the green grassland, he has the power to manipulate lightning."
,26,5964,,,,line,1,性情古怪熱情﹐招式變化莫測﹐常以天地為家⚬,"Eccentric and passionate nature, unpredictable moves, often with heaven and earth as their home.",0,0,
,26,598d,,,,line,1,被外星人改造的機械人﹐全身佈滿高科技的武器⚬,"Transformed by the aliens robot, the whole body is covered with high-tech weapons.",0,0,
,26,59b2,,,,line,1,長年隱居在洞穴中﹐擁有聽聲辨位的能力⚬,"Long lived in the cave, with the ability to hear the sound of the location.",0,0,
,26,59d5,,,,line,1,怨恨所有事物﹐已經殘暴到見人就殺的地步⚬,"Resentment of all things, has been brutal to the point of killing people on sight.",0,0,
,26,59f8,,,,line,1,罕見的仙獸﹐傳說中只要見過牠一面就會長生不老⚬,"Rare immortal beast, legend has it that if you see it once, you will live forever.",0,0,
,26,5a23,,,,line,1,上古時期的生物﹐身體的鱗片已經進化成了尖刺⚬,The scales of its body have evolved into spikes.,0,0,
,26,5a4a,,,,line,1,口中所噴出的火燄足以熔化所有武器⚬,The fire that comes out of its mouth is strong enough to melt all weapons.,0,0,
,26,5a6b,,,,line,1,平常是一灘熔岩﹐攻擊時才會現出原形⚬,"It is usually a puddle of lava, but only when it attacks does it show its original form.",0,0,
,26,5a8b,,,,line,1,尾巴上燃燒的火焰是它生命的象徵⚬沒有火苗速度便會減弱⚬,"The flame on its tail is a symbol of its life. Without fire, its speed will be reduced.",0,0,
,26,5abe,,,,line,1,附身於蠟燭的精靈﹐常被誤認為是鬼影⚬,A spirit that possesses a candle and is often mistaken for a ghost.,0,0,
,26,5ae0,,,,line,1,仙界煉丹爐幻化而成﹐爐中的高溫可煉出任何上等兵器⚬,The high temperature of the furnace can produce any weapon of the highest quality.,0,0,
,26,5b0a,,,,line,1,自認為比太陽還重要﹐一直想取代太陽的地位⚬,"He thinks he is more important than the sun, and has always wanted to take over the position of the sun.",0,0,
,26,5b30,,,,line,1,火系中速度最快者﹐來無影去無蹤⚬,"The fastest in the fire system, come and go without a shadow.",0,0,
,26,5b50,,,,line,1,常假扮成渡船人﹐卻趁人不注意時﹐將人推入海中⚬,"He often pretends to be a ferryman, but when people are not paying attention, he pushes them into the sea.",0,0,
,26,5b7d,,,,line,1,河豚的弟弟﹐身上擁有無藥可解的劇毒⚬,"Pufferfish's brother, his body has no music to cure the poison.",0,0,
,26,5b9d,,,,line,1,雖然很笨重﹐卻很擅長溜過結滿薄冰的冰河⚬,"Although very heavy, but very good at slipping through the ice river full of thin ice.",0,0,
,26,5bc5,,,,line,1,常在海上製造大海浪﹐是傳說中的大海怪⚬,"Often in the sea to create big waves, is the legendary sea monster.",0,0,
,26,5be5,,,,line,1,海龍王的軍師﹐能透視人心﹐極具智慧⚬,"The sea dragon king's army teacher, can see through the human heart, very wise.",0,0,
,26,5c06,,,,line,1,以快速振動臉頰的動作來向後方游動⚬其速度相當的快⚬,He swims backward with a quick cheek-vibrating motion. Its speed is very fast.,0,0,
,26,5c35,,,,line,1,當遭遇到危險時會從口中吐出泡泡包振全身﹐並快速滾動﹐逃離現場⚬,"When in danger, it spits out bubbles from its mouth and rolls quickly to escape.",0,0,
,26,5c6d,,,,line,1,每當進入產卵時期﹐金魚王就會從四處齊聚一堂﹐而河川也因此變成金,"When the spawning period begins, goldfish kings gather from all over, and rivers are also affected by the spawning period.",0,0,
,26,5ca6,,,,line,1,專吃海中遊玩的小孩﹐曾拍過大白鯊１﹐２集⚬,"Specializing in eating children swimming in the sea, has shot the great white shark 1, 2 episodes.",0,0,
,26,5ccd,,,,line,1,深愛著太陽神宙斯的女子﹐最後成為了最浪漫的星座象徵⚬,"The woman who loved Zeus, the sun god, eventually became the most romantic symbol of the constellation.",0,0,
,26,5cfe,,,,line,1,覆蓋全身的雜草﹐可以擾亂對方的注意力﹐讓對方感覺瞬間移動的錯覺,The weeds that cover the whole body can disturb the attention of the other party and make them feel instantly moved.,0,0,
,26,5d35,,,,line,1,頭頂上的大蘑菇﹐凡是看到的人都會有咬牠一口的慾望⚬,"The big mushroom on the top of the head, everyone who sees it will have the desire to bite it.",0,0,
,26,5d65,,,,line,1,千年老樹幻化而成的樹精﹐已可以遠離土壤自由移動⚬,"A spirit from an

ancient tree, now

roaming free.",0,0,"Thousands of years old trees are transformed into tree spirits, which can move freely away from the soil."
,26,5d8f,,,,line,1,鮮艷的外表下﹐藏著尖銳的鋼牙﹐冷不防的從背後咬上一口⚬,"Hides steel-sharp

teeth under its

colorful facade.",0,0,"Under the brightly colored appearance, hidden sharp steel teeth, cold bite from behind."
,26,5dc2,,,,line,1,尖銳無比的鐮刀﹐據說連石頭都可以砍碎⚬,"The sharpness is comparable to that of a sickle, and it is said that even stones can be shattered.",0,0,
,26,5de7,,,,line,1,具大的身軀使牠在移動牠的身體時﹐所產生的噪音會傳到很遠處⚬,Its large body makes the noise it makes when it moves its body travels a long distance.,0,0,
,26,5e1e,,,,line,1,這是生長在沼澤的巨大花朵﹐具有很強的毒性⚬,This is a huge flower that grows in the swamp and has a strong poison.,0,0,
,26,5e41,,,,line,1,長得像瓢蟲的怪獸﹐翅膀會產生靜電⚬,"A monster that looks like a ladybug, and its wings produce static electricity.",0,0,
,26,5e60,,,,line,1,喜歡吃香菇的妖怪﹐常常幻想自己是最頂級的大香菇⚬,A monster that likes to eat shiitake mushrooms and often imagines itself to be the top of the line.,0,0,
,26,5e8a,,,,line,1,以為會由毛毛蟲進化成美麗的蝴蝶﹐卻只有一對醜陋的翅膀⚬,"Thought it would evolve from a caterpillar into a beautiful butterfly, but only has a pair of ugly wings.",0,0,
